Epoch 1/100, Validation AUC-ROC: 0.5324966055142032
Epoch 2/100, Validation AUC-ROC: 0.5319176073150267
Epoch 3/100, Validation AUC-ROC: 0.5315127728322704
Epoch 4/100, Validation AUC-ROC: 0.5312629208961916
Epoch 5/100, Validation AUC-ROC: 0.5310961399135493
Epoch 6/100, Validation AUC-ROC: 0.5310711551647738
Epoch 7/100, Validation AUC-ROC: 0.531093635507574
Epoch 8/100, Validation AUC-ROC: 0.5311523429947118
Epoch 9/100, Validation AUC-ROC: 0.5312257477417821
Epoch 10/100, Validation AUC-ROC: 0.5313223460461429
Epoch 11/100, Validation AUC-ROC: 0.5314861481349996
Epoch 12/100, Validation AUC-ROC: 0.5316459363535336
Epoch 13/100, Validation AUC-ROC: 0.5318775842682049
Epoch 14/100, Validation AUC-ROC: 0.5321025137320331
Epoch 15/100, Validation AUC-ROC: 0.532301376021768
Epoch 16/100, Validation AUC-ROC: 0.5325026003711348
Epoch 17/100, Validation AUC-ROC: 0.5326546618522285
Epoch 18/100, Validation AUC-ROC: 0.5328584706773887
Epoch 19/100, Validation AUC-ROC: 0.5330660338873501
Epoch 20/100, Validation AUC-ROC: 0.5332877590756826
Epoch 21/100, Validation AUC-ROC: 0.533483025637478
Epoch 22/100, Validation AUC-ROC: 0.5337521743997029
Epoch 23/100, Validation AUC-ROC: 0.5340019121621522
Epoch 24/100, Validation AUC-ROC: 0.5342661959415445
Epoch 25/100, Validation AUC-ROC: 0.5345270100288217
Epoch 26/100, Validation AUC-ROC: 0.5348227968332873
Epoch 27/100, Validation AUC-ROC: 0.5350466453545721
Epoch 28/100, Validation AUC-ROC: 0.5353059944607343
Epoch 29/100, Validation AUC-ROC: 0.5355602042707983
Epoch 30/100, Validation AUC-ROC: 0.5359169597933738
Epoch 31/100, Validation AUC-ROC: 0.5361820531675928
Epoch 32/100, Validation AUC-ROC: 0.5364329341491108
Epoch 33/100, Validation AUC-ROC: 0.536702240085423
Epoch 34/100, Validation AUC-ROC: 0.5369866866312157
Epoch 35/100, Validation AUC-ROC: 0.5373137421823981
Epoch 36/100, Validation AUC-ROC: 0.5376152435994324
Epoch 37/100, Validation AUC-ROC: 0.5379092184535711
Epoch 38/100, Validation AUC-ROC: 0.5381928776461533
Epoch 39/100, Validation AUC-ROC: 0.5384517211262424
Epoch 40/100, Validation AUC-ROC: 0.5387198200841865
Epoch 41/100, Validation AUC-ROC: 0.5390974856914642
Epoch 42/100, Validation AUC-ROC: 0.539467586183712
Epoch 43/100, Validation AUC-ROC: 0.5399180382211319
Epoch 44/100, Validation AUC-ROC: 0.5402120056613988
Epoch 45/100, Validation AUC-ROC: 0.5405594063602339
Epoch 46/100, Validation AUC-ROC: 0.5408376964266846
Epoch 47/100, Validation AUC-ROC: 0.5411241061657935
Epoch 48/100, Validation AUC-ROC: 0.5414946559386871
Epoch 49/100, Validation AUC-ROC: 0.5418280711093055
Epoch 50/100, Validation AUC-ROC: 0.542085643851727
Epoch 51/100, Validation AUC-ROC: 0.5424964568808965
Epoch 52/100, Validation AUC-ROC: 0.5428024214488988
Epoch 53/100, Validation AUC-ROC: 0.543145708931526
Epoch 54/100, Validation AUC-ROC: 0.5435026082832191
Epoch 55/100, Validation AUC-ROC: 0.5439173476990212
Epoch 56/100, Validation AUC-ROC: 0.5442490131958382
Epoch 57/100, Validation AUC-ROC: 0.5446140218407688
Epoch 58/100, Validation AUC-ROC: 0.5449691982085998
Epoch 59/100, Validation AUC-ROC: 0.5453653540127459
Epoch 60/100, Validation AUC-ROC: 0.5457267120670838
Epoch 61/100, Validation AUC-ROC: 0.546106861321495
Epoch 62/100, Validation AUC-ROC: 0.5465540127030826
Epoch 63/100, Validation AUC-ROC: 0.5470902209983917
Epoch 64/100, Validation AUC-ROC: 0.5474863145260126
Epoch 65/100, Validation AUC-ROC: 0.547940635121863
Epoch 66/100, Validation AUC-ROC: 0.5482705079444206
Epoch 67/100, Validation AUC-ROC: 0.548656192395697
Epoch 68/100, Validation AUC-ROC: 0.5489919562809777
Epoch 69/100, Validation AUC-ROC: 0.5494164612490313
Epoch 70/100, Validation AUC-ROC: 0.5498960364585995
Epoch 71/100, Validation AUC-ROC: 0.5503115647103867
Epoch 72/100, Validation AUC-ROC: 0.5507333443390781
Epoch 73/100, Validation AUC-ROC: 0.5511525483886228
Epoch 74/100, Validation AUC-ROC: 0.551495207174901
Epoch 75/100, Validation AUC-ROC: 0.5519501742603934
Epoch 76/100, Validation AUC-ROC: 0.5524282622472303
Epoch 77/100, Validation AUC-ROC: 0.5528863372278818
Epoch 78/100, Validation AUC-ROC: 0.5533160111475217
Epoch 79/100, Validation AUC-ROC: 0.5538058204660543
Epoch 80/100, Validation AUC-ROC: 0.5542660514006951
Epoch 81/100, Validation AUC-ROC: 0.5547147330054718
